occupation,skill,relation_type
survival instructor,maintain camping facilities,essential
survival instructor,read maps,essential
survival instructor,manage student relationships,essential
survival instructor,lead hiking trips,essential
survival instructor,apply teaching strategies,essential
survival instructor,inspire enthusiasm for nature,essential
survival instructor,assist students with equipment,essential
survival instructor,educate people about nature,essential
survival instructor,build a fire,essential
survival instructor,use rope access techniques,essential
survival instructor,demonstrate when teaching,essential
survival instructor,give constructive feedback,essential
survival instructor,use geographic memory,essential
survival instructor,teach survival skills,essential
survival instructor,lip reading,optional
survival instructor,animal evolution,optional
survival instructor,teamwork principles,optional
survival instructor,celestial navigation,optional
survival instructor,animal behaviour,optional
survival instructor,represent the organisation,optional
survival instructor,prepare lesson content,optional
survival instructor,facilitate teamwork between students,optional
survival instructor,manage groups outdoors,optional
survival instructor,use rigging tools,optional
survival instructor,assess students,optional
survival instructor,operate fishing equipment,optional
survival instructor,provide lesson materials,optional
survival instructor,climb trees,optional
producer,project management,essential
producer,marketing principles,essential
producer,copyright legislation,essential
producer,manage budgets,essential
producer,consult with production director,essential
producer,manage staff,essential
producer,apply strategic thinking,essential
producer,analyse a script,essential
producer,develop professional network,essential
producer,assess financial viability,essential
producer,project management principles,optional
producer,sales activities,optional
producer,film production process,optional
producer,accounting techniques,optional
producer,audiovisual products,optional
producer,types of audiovisual formats,optional
producer,tax legislation,optional
producer,financial jurisdiction,optional
producer,audiovisual equipment,optional
producer,plan marketing strategy,optional
producer,implement marketing strategies,optional
producer,hire background musicians,optional
producer,work with playwrights,optional
producer,select scripts,optional
producer,create rough cut,optional
producer,liaise with financiers,optional
producer,attend read-through,optional
producer,manage sound quality,optional
producer,develop digital content,optional
producer,negotiate publishing rights,optional
producer,promote music,optional
producer,calculate production costs,optional
producer,record multi-track sound,optional
producer,use audio reproduction software,optional
producer,prepare government funding dossiers,optional
producer,perform project management,optional
producer,supervise sales activities,optional
producer,make film shooting schedule,optional
producer,carry out auditions,optional
producer,negotiate exploitation rights,optional
producer,negotiate with artists,optional
producer,implement strategic planning,optional
producer,supervise sound production,optional
producer,direct distribution operations,optional
producer,edit scripts,optional
producer,perform market research,optional
surface-mount technology machine operator,printed circuit boards,essential
surface-mount technology machine operator,surface-mount technology,essential
surface-mount technology machine operator,quality standards,essential
surface-mount technology machine operator,electronics,essential
surface-mount technology machine operator,interpret circuit diagrams,essential
surface-mount technology machine operator,monitor machine operations,essential
surface-mount technology machine operator,inspect quality of products,essential
surface-mount technology machine operator,read assembly drawings,essential
surface-mount technology machine operator,assemble printed circuit boards,essential
surface-mount technology machine operator,read standard blueprints,essential
surface-mount technology machine operator,coat printed circuit board,essential
surface-mount technology machine operator,report defective manufacturing materials,essential
surface-mount technology machine operator,prepare board for soldering,essential
surface-mount technology machine operator,clean printed circuit board,essential
surface-mount technology machine operator,operate smt placement equipment,essential
surface-mount technology machine operator,ensure conformity to specifications,essential
surface-mount technology machine operator,microelectronics,optional
surface-mount technology machine operator,ipc standards,optional
surface-mount technology machine operator,resolve equipment malfunctions,optional
surface-mount technology machine operator,dispose of hazardous waste,optional
surface-mount technology machine operator,check for solder defects,optional
surface-mount technology machine operator,use cam software,optional
surface-mount technology machine operator,operate wave soldering machine,optional
surface-mount technology machine operator,replace defect components,optional
surface-mount technology machine operator,maintain electronic systems,optional
surface-mount technology machine operator,apply technical communication skills,optional
surface-mount technology machine operator,repair electronic components,optional
metals and metal ores distribution manager,freight transport methods,essential
metals and metal ores distribution manager,hazardous freight regulations,essential
metals and metal ores distribution manager,supply chain management,essential
metals and metal ores distribution manager,create solutions to problems,essential
metals and metal ores distribution manager,manage freight payment methods,essential
metals and metal ores distribution manager,minimise shipping cost,essential
metals and metal ores distribution manager,perform risk analysis,essential
metals and metal ores distribution manager,manage staff,essential
metals and metal ores distribution manager,track shipments,essential
metals and metal ores distribution manager,ensure customs compliance,essential
metals and metal ores distribution manager,develop financial statistics reports,essential
metals and metal ores distribution manager,track shipping sites,essential
metals and metal ores distribution manager,manage financial risk,essential
metals and metal ores distribution manager,communicate with shipment forwarders,essential
metals and metal ores distribution manager,adhere to organisational guidelines,essential
metals and metal ores distribution manager,handle carriers,essential
metals and metal ores distribution manager,analyse supply chain trends,essential
metals and metal ores distribution manager,carry out statistical forecasts,essential
metals and metal ores distribution manager,have computer literacy,essential
metals and metal ores distribution manager,plan transport operations,essential
metals and metal ores distribution manager,implement strategic planning,essential
ict system tester,software anomalies,essential
ict system tester,levels of software testing,essential
ict system tester,systems theory,essential
ict system tester,report test findings,essential
ict system tester,provide software testing documentation,essential
ict system tester,execute software tests,essential
ict system tester,address problems critically,essential
ict system tester,apply ict systems theory,essential
ict system tester,manage system testing,essential
ict system tester,identify ict system weaknesses,essential
ict system tester,replicate customer software issues,essential
ict system tester,perform ict security testing,essential
ict system tester,agile project management,optional
ict system tester,mdx,optional
ict system tester,xquery,optional
ict system tester,attack vectors,optional
ict system tester,sparql,optional
ict system tester,ict debugging tools,optional
ict system tester,ict system integration,optional
ict system tester,query languages,optional
ict system tester,ldap,optional
ict system tester,ict system programming,optional
ict system tester,ict project management methodologies,optional
ict system tester,linq,optional
ict system tester,process-based management,optional
ict system tester,lean project management,optional
ict system tester,n1ql,optional
ict system tester,ict network simulation,optional
ict system tester,manage schedule of tasks,optional
ict system tester,debug software,optional
ict system tester,use scripting programming,optional
ict system tester,develop automated software tests,optional
ict system tester,develop ict test suite,optional
ict system tester,monitor system performance,optional
ict system tester,conduct ict code review,optional
ict system tester,solve ict system problems,optional
ict system tester,measure software usability,optional
ict system tester,give live presentation,optional
ict system tester,execute integration testing,optional
ict system tester,perform software recovery testing,optional
psychologist,counselling methods,essential
psychologist,psychological diagnostics,essential
psychologist,body language,essential
psychologist,health care occupation-specific ethics,essential
psychologist,client-centred counselling,essential
psychologist,consultation,essential
psychologist,psychological counselling methods,essential
psychologist,research design,essential
psychologist,scientific literature,essential
psychologist,behavioural disorders,essential
psychologist,psychological interventions,essential
psychologist,psychology,essential
psychologist,manage research data,essential
psychologist,prescribe psychotherapeutic treatment,essential
psychologist,use clinical assessment techniques,essential
psychologist,operate open source software,essential
psychologist,speak different languages,essential
psychologist,evaluate research activities,essential
psychologist,test for emotional patterns,essential
psychologist,demonstrate disciplinary expertise,essential
psychologist,perform scientific research,essential
psychologist,manage intellectual property rights,essential
psychologist,apply for research funding,essential
psychologist,conduct psychological assessement,essential
psychologist,follow clinical guidelines,essential
psychologist,conduct forensic evaluations,essential
psychologist,test for behavioural patterns,essential
psychologist,identify mental health issues,essential
psychologist,diagnose psychiatric symptoms,essential
psychologist,use psychoeducation,essential
psychologist,prescribe medication,essential
psychologist,interpret psychological tests,essential
psychologist,publish academic research,essential
psychologist,think abstractly,essential
psychologist,listen actively,essential
psychologist,mentor individuals,essential
psychologist,manage personal professional development,essential
psychologist,counsel clients,essential
psychologist,monitor therapeutic progress,essential
psychologist,write scientific publications,essential
psychologist,interact with healthcare users,essential
psychologist,perform project management,essential
psychologist,manage open publications,essential
psychologist,build trust,essential
psychologist,refer healthcare users,essential
psychologist,synthesise information,essential
psychologist,conduct research across disciplines,essential
psychologist,clinical reports,optional
psychologist,psychiatric diagnostics,optional
psychologist,forensic psychiatry,optional
psychologist,sport psychology,optional
psychologist,psychiatric disorders,optional
psychologist,neurology,optional
psychologist,psycholinguistics,optional
psychologist,clinical social work,optional
psychologist,clinical psychological treatment,optional
psychologist,crisis intervention,optional
psychologist,experimental psychology,optional
psychologist,sexual disorders,optional
psychologist,first aid,optional
psychologist,psychiatry,optional
psychologist,provide health education,optional
psychologist,diagnose mental disorders,optional
psychologist,apply caseload management,optional
psychologist,apply blended learning,optional
psychologist,promote mental health,optional
psychologist,apply systemic therapy,optional
3d animator,particle animation,essential
3d animator,principles of animation,essential
3d animator,3d texturing,essential
3d animator,3d lighting,essential
3d animator,augmented reality,essential
3d animator,computer graphics,essential
3d animator,holography,essential
3d animator,create 3d environments,essential
3d animator,apply 3d imaging techniques,essential
3d animator,create 3d characters,essential
3d animator,animate 3d organic forms,essential
3d animator,discuss artwork,essential
3d animator,rig 3d characters,essential
3d animator,render 3d images,essential
3d animator,manage schedule of tasks,optional
3d animator,create animated narratives,optional
3d animator,create storyboards,optional
3d animator,maintain an artistic portfolio,optional
3d animator,use scripting programming,optional
3d animator,develop creative ideas,optional
3d animator,select illustration styles,optional
3d animator,draw design sketches,optional
technical sales representative in mining and construction machinery,characteristics of products,essential
technical sales representative in mining and construction machinery,sales promotion techniques,essential
technical sales representative in mining and construction machinery,product comprehension,essential
technical sales representative in mining and construction machinery,characteristics of services,essential
technical sales representative in mining and construction machinery,guarantee customer satisfaction,essential
technical sales representative in mining and construction machinery,communicate with customers,essential
technical sales representative in mining and construction machinery,manage schedule of tasks,essential
technical sales representative in mining and construction machinery,implement marketing strategies,essential
technical sales representative in mining and construction machinery,answer requests for quotation,essential
technical sales representative in mining and construction machinery,maintain relationship with customers,essential
technical sales representative in mining and construction machinery,implement customer follow-up,essential
technical sales representative in mining and construction machinery,prospect new customers,essential
technical sales representative in mining and construction machinery,record customers' personal data,essential
technical sales representative in mining and construction machinery,contact customers,essential
technical sales representative in mining and construction machinery,demonstrate motivation for sales,essential
technical sales representative in mining and construction machinery,produce sales reports,essential
technical sales representative in mining and construction machinery,ensure client orientation,essential
technical sales representative in mining and construction machinery,implement sales strategies,essential
technical sales representative in mining and construction machinery,apply technical communication skills,essential
technical sales representative in mining and construction machinery,respond to customers' inquiries,essential
technical sales representative in mining and construction machinery,supervise sales activities,essential
technical sales representative in mining and construction machinery,have computer literacy,essential
technical sales representative in mining and construction machinery,demonstrate products' features,essential
technical sales representative in mining and construction machinery,provide customer follow-up services,essential
technical sales representative in mining and construction machinery,keep records on sales,essential
mouldmaker,construct moulds,essential
mouldmaker,select mould types,essential
mouldmaker,insert mould structures,essential
mouldmaker,maintain moulds,essential
mouldmaker,fill moulds,essential
mouldmaker,repair mould defects,essential
mouldmaker,move filled moulds,essential
mouldmaker,ensure mould uniformity,essential
mouldmaker,match product moulds,essential
mouldmaker,non-ferrous metal processing,optional
mouldmaker,ferrous metal processing,optional
mouldmaker,jewellery processes,optional
mouldmaker,manufacturing of jewellery,optional
mouldmaker,precious metal processing,optional
mouldmaker,maintain cores,optional
mouldmaker,repair core defects,optional
mouldmaker,maintain core parts,optional
mouldmaker,ensure core uniformity,optional
mouldmaker,coordinate mouldmaking shifts,optional
mouldmaker,mark processed workpiece,optional
mouldmaker,prepare scientific reports,optional
mouldmaker,supervise work,optional
mouldmaker,insert reinforcement in mould,optional
mouldmaker,follow manufacturing work schedule,optional
canvas goods assembler,fabric types,essential
canvas goods assembler,sew textile-based articles,essential
canvas goods assembler,prepare pieces for joining,essential
canvas goods assembler,pack goods,essential
canvas goods assembler,verify product specifications,essential
canvas goods assembler,operate handheld riveting equipment,essential
canvas goods assembler,assemble goods,essential
canvas goods assembler,cut fabrics,essential
canvas goods assembler,operate hot glue gun,essential
canvas goods assembler,properties of textile materials,optional
canvas goods assembler,nonwoven machine technology,optional
canvas goods assembler,technical drawings,optional
canvas goods assembler,rivet types,optional
canvas goods assembler,textile printing technology,optional
canvas goods assembler,manufacturing of sports equipment,optional
canvas goods assembler,inspect quality of products,optional
canvas goods assembler,apply restoration techniques,optional
canvas goods assembler,dye fabrics,optional
canvas goods assembler,use manual sewing techniques,optional
canvas goods assembler,tend weaving machines,optional
canvas goods assembler,sew pieces of fabric,optional
canvas goods assembler,use weaving machine technologies,optional
canvas goods assembler,tend riveting machine,optional
canvas goods assembler,use pattern-cutting softwares,optional
canvas goods assembler,conduct textile testing operations,optional
canvas goods assembler,tend textile printing machines,optional
irrigation technician,water pressure,essential
irrigation technician,irrigation systems,essential
irrigation technician,types of sprinklers,essential
irrigation technician,maintain irrigation controllers,essential
irrigation technician,maintain sprinkler systems,essential
irrigation technician,lay pipe installation,essential
irrigation technician,install irrigation systems,essential
irrigation technician,maintain irrigation systems,essential
irrigation technician,compute irrigation pressure,essential
irrigation technician,water policies,optional
irrigation technician,fire safety regulations,optional
irrigation technician,fire prevention procedures,optional
irrigation technician,water reuse,optional
irrigation technician,follow water supply schedule,optional
irrigation technician,develop irrigation strategies,optional
irrigation technician,organise irrigation,optional
irrigation technician,inspect fire equipment,optional
irrigation technician,monitor water quality,optional
irrigation technician,perform water testing procedures,optional
irrigation technician,measure water flow,optional
bid manager,project management,essential
bid manager,cost management,essential
bid manager,report on grants,essential
bid manager,perform risk analysis,essential
bid manager,carry out tendering,essential
bid manager,evaluate project plans,essential
bid manager,manage project changes,essential
bid manager,deliver business research proposals,essential
bid manager,manage resources,essential
bid manager,implement a management system,essential
bid manager,give live presentation,essential
bid manager,manage information sources,essential
process engineering technician,engineering principles,essential
process engineering technician,manufacturing processes,essential
process engineering technician,engineering processes,essential
process engineering technician,cae software,essential
process engineering technician,create solutions to problems,essential
process engineering technician,resolve equipment malfunctions,essential
process engineering technician,record test data,essential
process engineering technician,troubleshoot,essential
process engineering technician,adjust engineering designs,essential
process engineering technician,conduct routine machinery checks,essential
process engineering technician,advise on manufacturing problems,essential
process engineering technician,analyse test data,essential
process engineering technician,collaborate with engineers,essential
process engineering technician,identify process improvements,essential
process engineering technician,read engineering drawings,essential
process engineering technician,sustainable technologies,optional
process engineering technician,mathematics,optional
process engineering technician,production engineering,optional
process engineering technician,cad software,optional
process engineering technician,blueprints,optional
process engineering technician,industrial research and development,optional
process engineering technician,mechanics,optional
process engineering technician,manage supplies,optional
process engineering technician,order supplies,optional
process engineering technician,operate welding equipment,optional
process engineering technician,use computer-aided engineering systems,optional
process engineering technician,perform test run,optional
process engineering technician,create technical plans,optional
process engineering technician,oversee quality control,optional
process engineering technician,read standard blueprints,optional
process engineering technician,secure working area,optional
process engineering technician,use testing equipment,optional
process engineering technician,use cad software,optional
process engineering technician,assess operating cost,optional
process engineering technician,operate soldering equipment,optional
pre-stitching machine operator,leather goods manufacturing processes,essential
pre-stitching machine operator,leather goods components,essential
pre-stitching machine operator,footwear equipments,essential
pre-stitching machine operator,leather goods quality,essential
pre-stitching machine operator,footwear materials,essential
pre-stitching machine operator,footwear machinery,essential
pre-stitching machine operator,footwear stitching techniques,essential
pre-stitching machine operator,footwear manufacturing technology,essential
pre-stitching machine operator,footwear quality,essential
pre-stitching machine operator,footwear components,essential
pre-stitching machine operator,leather goods materials,essential
pre-stitching machine operator,apply pre-stitching techniques,essential
pre-stitching machine operator,use it tools,essential
pre-stitching machine operator,create solutions to problems,optional
pre-stitching machine operator,use communication techniques,optional
pre-stitching machine operator,tend automatic sewing machines,optional
pneumatic systems technician,pneumatics,essential
pneumatic systems technician,mechanics,essential
pneumatic systems technician,resolve equipment malfunctions,essential
pneumatic systems technician,record test data,essential
pneumatic systems technician,perform test run,essential
pneumatic systems technician,read standard blueprints,essential
pneumatic systems technician,secure working area,essential
pneumatic systems technician,use testing equipment,essential
pneumatic systems technician,install pneumatic systems,essential
pneumatic systems technician,consult technical resources,essential
pneumatic systems technician,operate soldering equipment,essential
pneumatic systems technician,fluid mechanics,optional
pneumatic systems technician,solve technical problems,optional
pneumatic systems technician,order supplies,optional
pneumatic systems technician,operate welding equipment,optional
pneumatic systems technician,troubleshoot,optional
pneumatic systems technician,operate precision measuring equipment,optional
pneumatic systems technician,conduct routine machinery checks,optional
pneumatic systems technician,estimate restoration costs,optional
pneumatic systems technician,replace defect components,optional
pneumatic systems technician,control air flow,optional
pneumatic systems technician,prepare compliance documents,optional
pneumatic systems technician,apply technical communication skills,optional
pneumatic systems technician,liaise with engineers,optional
pneumatic systems technician,issue sales invoices,optional
pneumatic systems technician,write records for repairs,optional
industrial pharmacist,microbiology-bacteriology,essential
industrial pharmacist,pharmacy law,essential
industrial pharmacist,organic chemistry,essential
industrial pharmacist,physics,essential
industrial pharmacist,pharmaceutical technology,essential
industrial pharmacist,pharmacognosy,essential
industrial pharmacist,pharmaceutical processes,essential
industrial pharmacist,human anatomy,essential
industrial pharmacist,pharmaceutical chemistry,essential
industrial pharmacist,toxicology,essential
industrial pharmacist,inorganic chemistry,essential
industrial pharmacist,pharmacokinetics,essential
industrial pharmacist,pharmacotherapy,essential
industrial pharmacist,improve safety of medicines,essential
industrial pharmacist,adhere to organisational guidelines,essential
industrial pharmacist,develop pharmaceutical drugs,essential
industrial pharmacist,accept own accountability,essential
industrial pharmacist,botany,optional
industrial pharmacist,safe management of medicines,optional
industrial pharmacist,quality assurance methodologies,optional
industrial pharmacist,sales strategies,optional
industrial pharmacist,perform toxicological studies,optional
industrial pharmacist,perform laboratory tests,optional
industrial pharmacist,implement marketing strategies,optional
industrial pharmacist,wear appropriate protective gear,optional
industrial pharmacist,test medicinal products,optional
industrial pharmacist,provide pharmaceutical advice,optional
industrial pharmacist,manage medical supply chains,optional
industrial pharmacist,maintain medical laboratory equipment,optional
industrial pharmacist,manufacture medicines,optional
industrial pharmacist,ensure pharmacovigilance,optional
industrial pharmacist,analyse experimental laboratory data,optional
industrial pharmacist,conduct health related research,optional
industrial pharmacist,recommend product improvements,optional
industrial pharmacist,manage medication safety issues,optional
industrial pharmacist,maintain medical devices,optional
accommodation manager,property management software,essential
accommodation manager,ensure infrastructure accessibility,essential
accommodation manager,create solutions to problems,essential
accommodation manager,implement marketing strategies,essential
accommodation manager,manage budgets,essential
accommodation manager,monitor financial accounts,essential
accommodation manager,manage staff,essential
accommodation manager,develop inclusive communication material,essential
accommodation manager,create annual marketing budget,essential
accommodation manager,assist at check-in,essential
accommodation manager,monitor company policy,essential
accommodation manager,maintain customer service,essential
accommodation manager,ensure price competitiveness,essential
accommodation manager,implement sales strategies,essential
accommodation manager,manage hospitality revenue,essential
accommodation manager,build business relationships,essential
accommodation manager,develop strategies for accessibility,essential
accommodation manager,handle financial transactions,essential
accommodation manager,local area tourism industry,optional
accommodation manager,energy conservation,optional
accommodation manager,manage inspections of equipment,optional
accommodation manager,set up pricing strategies,optional
accommodation manager,greet guests,optional
accommodation manager,handle customer complaints,optional
accommodation manager,recruit employees,optional
accommodation manager,forecast occupancy demand,optional
accommodation manager,plan shifts of employees,optional
accommodation manager,develop working procedures,optional
industrial engineer,production processes,essential
industrial engineer,engineering principles,essential
industrial engineer,manufacturing processes,essential
industrial engineer,production engineering,essential
industrial engineer,engineering processes,essential
industrial engineer,industrial engineering,essential
industrial engineer,optimise production processes parameters,essential
industrial engineer,adjust engineering designs,essential
industrial engineer,approve engineering design,essential
industrial engineer,continuous improvement philosophies,optional
industrial engineer,instrumentation equipment,optional
industrial engineer,material mechanics,optional
industrial engineer,electromechanics,optional
industrial engineer,design drawings,optional
industrial engineer,electrical engineering,optional
industrial engineer,mathematics,optional
industrial engineer,microelectronics,optional
industrial engineer,design principles,optional
industrial engineer,welding techniques,optional
industrial engineer,principles of mechanical engineering,optional
industrial engineer,technical drawings,optional
industrial engineer,aerospace engineering,optional
industrial engineer,physics,optional
industrial engineer,environmental legislation,optional
industrial engineer,types of metal,optional
industrial engineer,lean manufacturing,optional
industrial engineer,computer engineering,optional
industrial engineer,quality standards,optional
industrial engineer,electronics,optional
industrial engineer,3d modelling,optional
industrial engineer,mechanical engineering,optional
industrial engineer,industrial tools,optional
industrial engineer,cad software,optional
industrial engineer,instrumentation engineering,optional
industrial engineer,microelectromechanical systems,optional
industrial engineer,chemistry,optional
industrial engineer,mechatronics,optional
industrial engineer,semiconductors,optional
industrial engineer,robotics,optional
industrial engineer,industrial research and development,optional
industrial engineer,mechanics,optional
industrial engineer,automation technology,optional
industrial engineer,coordinate manufacturing production activities,optional
industrial engineer,communicate with customers,optional
industrial engineer,automotive engineering,optional
industrial engineer,lead process optimisation,optional
industrial engineer,manage budgets,optional
industrial engineer,schedule production,optional
industrial engineer,execute analytical mathematical calculations,optional
industrial engineer,maintain relationship with suppliers,optional
industrial engineer,maintain industrial equipment,optional
industrial engineer,perform test run,optional
industrial engineer,apply advanced manufacturing,optional
industrial engineer,determine production capacity,optional
industrial engineer,oversee assembly operations,optional
industrial engineer,advise on manufacturing problems,optional
industrial engineer,optimise production,optional
industrial engineer,coordinate engineering teams,optional
industrial engineer,plan manufacturing processes,optional
industrial engineer,examine engineering principles,optional
industrial engineer,read engineering drawings,optional
industrial engineer,use cad software,optional
industrial engineer,manage production systems,optional
industrial engineer,design prototypes,optional
industrial engineer,develop production line,optional
industrial engineer,liaise with engineers,optional
industrial engineer,perform project management,optional
industrial engineer,provide improvement strategies,optional
industrial engineer,train employees,optional
industrial engineer,prepare production prototypes,optional
industrial engineer,build machines,optional
industrial engineer,design automation components,optional
industrial engineer,develop product design,optional
industrial engineer,control production,optional
leather goods stitching machine operator,leather goods manufacturing processes,essential
leather goods stitching machine operator,leather goods components,essential
leather goods stitching machine operator,footwear equipments,essential
leather goods stitching machine operator,leather goods quality,essential
leather goods stitching machine operator,footwear machinery,essential
leather goods stitching machine operator,leather goods materials,essential
leather goods stitching machine operator,apply stitching techniques,essential
leather goods stitching machine operator,apply pre-stitching techniques,essential
leather goods stitching machine operator,use manual sewing techniques,optional
leather goods stitching machine operator,use communication techniques,optional
leather goods stitching machine operator,sew pieces of fabric,optional
leather goods stitching machine operator,tend automatic sewing machines,optional
leather goods stitching machine operator,use it tools,optional
secondary school head teacher,curriculum standards,essential
secondary school head teacher,education law,essential
secondary school head teacher,project management,essential
secondary school head teacher,instructional strategies,essential
secondary school head teacher,pedagogy,essential
secondary school head teacher,secondary school procedures,essential
secondary school head teacher,curriculum objectives,essential
secondary school head teacher,cooperate with education professionals,essential
secondary school head teacher,guarantee students' safety,essential
secondary school head teacher,supervise educational staff,essential
secondary school head teacher,represent the organisation,essential
secondary school head teacher,develop organisational policies,essential
secondary school head teacher,manage staff,essential
secondary school head teacher,manage school budget,essential
secondary school head teacher,maintain students' discipline,essential
secondary school head teacher,monitor educational developments,essential
secondary school head teacher,assess students,essential
secondary school head teacher,write work-related reports,essential
secondary school head teacher,manage enrolment,essential
secondary school head teacher,liaise with board members,essential
secondary school head teacher,apply for government funding,essential
secondary school head teacher,present reports,essential
secondary school head teacher,analyse staff capacity,essential
secondary school head teacher,liaise with educational staff,essential
secondary school head teacher,labour legislation,optional
secondary school head teacher,assessment processes,optional
secondary school head teacher,funding methods,optional
secondary school head teacher,trade union regulations,optional
secondary school head teacher,adolescent socialisation behaviour,optional
secondary school head teacher,contract law,optional
secondary school head teacher,learning difficulties,optional
secondary school head teacher,learning technologies,optional
secondary school head teacher,manage government-funded programmes,optional
secondary school head teacher,evaluate education programmes,optional
secondary school head teacher,assess employees' capability levels,optional
secondary school head teacher,recruit employees,optional
secondary school head teacher,arrange parent teacher meeting,optional
secondary school head teacher,prepare youths for adulthood,optional
secondary school head teacher,provide feedback to teachers,optional
secondary school head teacher,identify education needs,optional
secondary school head teacher,manage space utilisation,optional
secondary school head teacher,lead board meetings,optional
secondary school head teacher,promote education programmes,optional
secondary school head teacher,manage contracts,optional
secondary school head teacher,develop professional network,optional
secondary school head teacher,manage maintenance operations,optional
secondary school head teacher,create a financial report,optional
secondary school head teacher,advise on teaching methods,optional
secondary school head teacher,administer exams,optional
secondary school head teacher,lead inspections,optional
"textiles, textile semi-finished and raw materials distribution manager",freight transport methods,essential
"textiles, textile semi-finished and raw materials distribution manager",hazardous freight regulations,essential
"textiles, textile semi-finished and raw materials distribution manager",supply chain management,essential
"textiles, textile semi-finished and raw materials distribution manager",create solutions to problems,essential
"textiles, textile semi-finished and raw materials distribution manager",manage freight payment methods,essential
"textiles, textile semi-finished and raw materials distribution manager",minimise shipping cost,essential
"textiles, textile semi-finished and raw materials distribution manager",perform risk analysis,essential
"textiles, textile semi-finished and raw materials distribution manager",manage staff,essential
"textiles, textile semi-finished and raw materials distribution manager",track shipments,essential
"textiles, textile semi-finished and raw materials distribution manager",ensure customs compliance,essential
"textiles, textile semi-finished and raw materials distribution manager",develop financial statistics reports,essential
"textiles, textile semi-finished and raw materials distribution manager",track shipping sites,essential
"textiles, textile semi-finished and raw materials distribution manager",manage financial risk,essential
"textiles, textile semi-finished and raw materials distribution manager",communicate with shipment forwarders,essential
"textiles, textile semi-finished and raw materials distribution manager",adhere to organisational guidelines,essential
"textiles, textile semi-finished and raw materials distribution manager",handle carriers,essential
"textiles, textile semi-finished and raw materials distribution manager",analyse supply chain trends,essential
"textiles, textile semi-finished and raw materials distribution manager",carry out statistical forecasts,essential
"textiles, textile semi-finished and raw materials distribution manager",have computer literacy,essential
"textiles, textile semi-finished and raw materials distribution manager",plan transport operations,essential
"textiles, textile semi-finished and raw materials distribution manager",implement strategic planning,essential
head waiter/head waitress,quality assurance methodologies,essential
head waiter/head waitress,inspect table settings,essential
head waiter/head waitress,coach employees,essential
head waiter/head waitress,prepare tableware,essential
head waiter/head waitress,monitor billing procedures,essential
head waiter/head waitress,maintain relationship with customers,essential
head waiter/head waitress,greet guests,essential
head waiter/head waitress,handle customer complaints,essential
head waiter/head waitress,recruit employees,essential
head waiter/head waitress,assist vip guests,essential
head waiter/head waitress,plan menus,essential
head waiter/head waitress,identify customer's needs,essential
head waiter/head waitress,maintain customer service,essential
head waiter/head waitress,plan shifts of employees,essential
head waiter/head waitress,measure customer feedback,essential
head waiter/head waitress,supervise food quality,essential
head waiter/head waitress,maximise sales revenues,essential
head waiter/head waitress,store kitchen supplies,essential
head waiter/head waitress,process payments,essential
head waiter/head waitress,manage restaurant service,essential
head waiter/head waitress,control of expenses,essential
head waiter/head waitress,train employees,essential
head waiter/head waitress,manage stock rotation,essential
head waiter/head waitress,check dining room cleanliness,essential
head waiter/head waitress,monitor customer service,essential
head waiter/head waitress,sparkling wines,optional
head waiter/head waitress,food waste monitoring systems,optional
head waiter/head waitress,monitor stock level,optional
head waiter/head waitress,handle surveillance equipment,optional
head waiter/head waitress,process reservations,optional
head waiter/head waitress,monitor check-out point,optional
fine arts instructor,assessment processes,essential
fine arts instructor,art history,essential
fine arts instructor,instructional strategies,essential
fine arts instructor,curriculum objectives,essential
fine arts instructor,teach arts principles,essential
fine arts instructor,guarantee students' safety,essential
fine arts instructor,assess conservation needs,essential
fine arts instructor,prepare lesson content,essential
fine arts instructor,compile course material,essential
fine arts instructor,manage student relationships,essential
fine arts instructor,apply teaching strategies,essential
fine arts instructor,create craft prototypes,essential
fine arts instructor,assess students,essential
fine arts instructor,assist students with equipment,essential
fine arts instructor,select subject matter,essential
fine arts instructor,define creative components,essential
fine arts instructor,demonstrate when teaching,essential
fine arts instructor,give constructive feedback,essential
fine arts instructor,supervise craft production,essential
fine arts instructor,perform classroom management,essential
fine arts instructor,apply intercultural teaching strategies,essential
fine arts instructor,develop course outline,essential
fine arts instructor,types of paint,optional
fine arts instructor,learning difficulties,optional
fine arts instructor,graphic design,optional
fine arts instructor,teamwork principles,optional
fine arts instructor,types of pottery material,optional
fine arts instructor,copyright legislation,optional
fine arts instructor,scientific research methodology,optional
fine arts instructor,ergonomics,optional
fine arts instructor,create sculptures,optional
fine arts instructor,manage budgets,optional
fine arts instructor,facilitate teamwork between students,optional
fine arts instructor,use traditional illustration techniques,optional
fine arts instructor,promote the conservatory,optional
fine arts instructor,create sketches,optional
fine arts instructor,paint sets,optional
fine arts instructor,develop learning curriculum,optional
fine arts instructor,use digital illustration techniques,optional
fine arts instructor,use painting techniques,optional
fine arts instructor,keep records of attendance,optional
fine arts instructor,operate a ceramics kiln,optional
fine arts instructor,present exhibition,optional
fine arts instructor,provide lesson materials,optional
fine arts instructor,use genre painting techniques,optional
fine arts instructor,provide career counselling,optional
business manager,business management principles,essential
business manager,business law,essential
business manager,financial forecasting,essential
business manager,corporate social responsibility,essential
business manager,cost management,essential
business manager,risk identification,essential
business manager,strategic planning,essential
business manager,business communication,essential
business manager,company policies,essential
business manager,conclude business agreements,essential
business manager,exercise stewardship,essential
