occupation,occupation_aliases
special educational needs teacher secondary school,secondary school special education teacher|special educational needs teacher in high school|high school special educational needs teacher|secondary school sen teacher|high school special education teacher|high school special needs teacher|secondary school special educational needs teacher|special educational needs teacher high school|teacher in special educational needs in secondary schools|high school sen teacher
performance production manager,theatre production manager|film production manager|theater production manager|live event production manager
metal production manager,development engineer|facility manager|operations manager|plant manager|site manager|metal planning engineer|metal engineer|metal development engineers|metal development experts|metal development managers
aircraft engine assembler,civilian aircraft engine builder|aeroplane engine builder|jet aircraft engine assembler|civilian aircraft engine assembler|helicopter engine assembler|military aircraft engine builder|plane engine assembler|piston aircraft engine assembler|rotary aircraft engine builder|airplane engine assembler|jet aircraft engine builder|rotary aircraft engine assembler|plane engine builder|military aircraft engine assembler|helicopter engine builder|light aircraft engine builder|piston aircraft engine builder|airplane engine builder|aeroplane engine assembler|light aircraft engine assembler
quarry engineer,quarry manager|mine planning engineer|drilling and blasting engineer|mine engineer|drilling & blasting engineer|drilling and blasting supervisor|mining engineer|explosives engineer|drill & blast engineer|drill and blast engineer
audiology equipment shop manager,audiology centre manager|hearing aid shop manager|retail audiologist|audiology shop manager|audiology equipment retail manager|hearing help shop manager|audiology sales manager|audiology retail service manager
hardware and paint specialised seller,home decorating specialised seller|home decorating salesperson|hardware and paint do it yourself salesperson|hardware and paint specialized seller|paint and accessories specialised seller|hardware salesperson|hardware and paint diy salesperson|glass and mirror salesperson|hardware and paint do it yourself specialised seller|glass and mirror specialised seller|hardware specialised seller|paint and accessories salesperson|hardware and paint diy specialised seller
primary school teacher,teacher in a primary school|primary school music teacher|teacher in primary education|primary education teacher|primary education professional|music teacher primary school|elementary school teacher|educator in primary education|primary school educator|educator in primary school
tram driver,light rail vehicle driver|metro train driver|driver of trams|driver of light rail trains|light rail train driver
container equipment assembly supervisor,container equipment manufacturing assembler supervisor|container equipment assembly line senior operative|container equipment assembly line machine supervisor|container equipment machine assembler supervisor|container equipment bench precision supervisor|container equipment supervisor worker|container equipment machine assembly supervisor|container equipment assembly line senior operator|container equipment sub assembler supervisor|container equipment production line supervisor|container equipment mechanical assembler supervisor|container equipment electronic supervisor|container equipment final supervisor|container equipment assembly line supervisor
warehouse operators for clothing,clothing warehouse operators|clothing warehouse operatives|clothing warehouse workers|warehouse person for clothing|clothing warehouse representatives|fashion warehouse operative
administrative assistant,executive administrative assistant|general office clerk|administrative office worker|office clerk|clerical assistant|office administrator|communications assistant|administrative office assistant
coffee grinder,grinding machine attendant|grinder operator
medical administrative assistant,medical receptionist|healthcare assistant|medical assistant|personal assistant|administrative assistant in medical institution|medical institution personal assistant|medical institution administrative assistant|medical pa|health services administrative assistant|healthcare secretary|pa|secretary in medical institution
ict security administrator,ciso|it security administrator|information security administrator|ict security administrators|network security administrator|system security administrator
bricklaying supervisor,bricklaying foreman|bricklayer supervisor|bricklayer foreman|brick laying supervisor|brickwork foreman|foreman bricklayer|brickwork supervisor|brickmason supervisor|bricksetter supervisor
medical physics expert,mpe|medical radiation physics expert|patients radiation protection optimisation expert|dosimetry expert|medical radiation physics specialist|medical physics specialist
slate mixer,slate mixing machine operative|slate granule mixer operator|slate granule mixer tender|slate mixing machine tender|granule mixer|slate product production operative|slate-mixer setter|slate granule mixer worker|slate granule mixer setter|slate mixing machine worker|slate granule mixer operative|slate mixing machine operator|slate product production worker|slate-mixer worker|slate-mixer tender|slate product production operator|slate-mixer operator|slate granule mixer|slate-mixer operative|slate mixing machine setter
marine engineering technician,marine vessel engineering technician|boat engineering technician|submarine engineering technologist|marine engineering technologist|vessel technologist|submarine engineering technician|marine technologist|submarine technologist|vessel engineering technician|pleasure craft engineering technician|ship engineering technician|yacht engineering technician|cargo vessel engineering technician|vessel engineering technologist
auction house manager,auctioneer|auction house director|valuer|auction house administrator
software analyst,software requirement analyst|programming analyst|software analysts|programmer analyst|application analyst|software requirements analyst|analyst of software
accounting manager,financial director|head of accounts|accounts payable manager|financial accounts supervisor|accounting office manager|accounting department manager|accounting director|group accounting manager|financial accounting manager|cost accounting manager
foundry manager,production controller|engineering manager|foundry plant manager|foundry operations manager|foundry production manager|process manager
procurement category specialist,procurement associate category specialist|market specialist|supply specialist|associate category specialist|category specialist
telecommunications technician,telecoms systems technician|communication technician|telecommunications installer|technician in telecommunications|telecommunications service technician|technician in satellite telecommunications|communication line technician|telecommunications technicians|communication line technicians|telecommunications equipment technician|technician in telecommunication systems|telecommunications equipment installer|cable and fibre network technician|phone systems technician|field-based telecommunications technician|telecom technician|telecommunications line maintainer|telecommunications systems installer|telecommunications installation technician|telecommunications installer and repairer|telecommunications systems technician|telecoms technician|satellite dish installer|telecommunications hardware professional
promotions demonstrator,trainee sales demonstrator|supermarket promotions demonstrator|outlet centre promotions demonstrator|trainee promotions demonstrator|department store promotions demonstrator|filling station promotions demonstrator|senior promotions demonstrator|hypermarket sales demonstrator|hypermarket promotions demonstrator|department store sales demonstrator|garden centre sales demonstrator|filling station sales demonstrator|outlet centre sales demonstrator|supermarket sales demonstrator|senior sales demonstrator|garden centre promotions demonstrator
maritime instructor,ship pilot trainer|specialist maritime training instructor|instructor in maritime training|maritime trainer|occupational boating instructor|ship pilot instructor|boating instructor|maritime training instructor
foreign exchange trader,forex dealer|foreign exchange handler|forex handler|foreign exchange dealer
aerospace engineering technician,aeroplane technologist|aeronautical technologist|aircraft engineering technician|aero spatial technologist|spacecraft engineering technician|spaceship technologist|aircraft technologist|spaceship engineering technician|spacecraft technologist|aeroplane engineering technician|aeronautics engineering technician
table saw operator,table saw tender|table saw operative|table saw specialist|cut-off saw specialist|panel saw specialist|circle saw operator|timber machine operator|cut-off saw operator|panel saw operator|table saw machine operator|beam saw operator|circle saw technician|cut-off saw technician|table saw worker|table saw setter|mitre saw specialist|sawyer|table saw machine operative|beam saw specialist|circular saw operator|table sawyer|mitre saw operator|board saw specialist|table saw technician|sawbench operator|circle saw specialist|circular saw technician|board saw technician|mitre saw technician|board saw operator|panel saw technician|beam saw technician|circular saw specialist
bridge construction supervisor,bridge construction project supervisor|bridge building supervisor|bridge construction site supervisor|bridgebuilding supervisor
bricklayer,specialist brick layer|industrial oven brickmason|brick laying worker|brick layer|trowel occupation worker|brick laying labourer
meat cutter,trimmer|deboner|meatcutter|meat boner
criminologist,criminology scientist|criminology research scientist|criminology studies scientist|criminology studies research scientist|criminology researcher|criminology studies researcher|criminologists|criminology studies scholar|criminology science researcher|criminology scholar
performance video operator,live video operator|projection operator|video and graphics operator|video projection operator|visuals operator|video projection technician|visual and graphic operator|visual projection operator|video and graphics technician|video operator
