occupation,occupation_aliases
pipeline superintendent,distribution network planner|distribution network monitoring manager|distribution network manager|pipeline project director|supervisor of pipeline|distribution network strategy planner|pipeline project manager
health and safety officer,public health inspector|health and safety advisor|occupational health nurse|occupational health and safety officer|occupational health officer|occupational hygienist|environmental and occupational heath officer|workplace health and safety advisor
wholesale merchant in waste and scrap,assistant wholesale merchant in waste and scrap|business to business seller in waste and scrap|b2b sales consultant in waste and scrap|senior wholesale merchant in waste and scrap|wholesaler in waste and scrap|business to business sales consultant in waste and scrap|wholesale trader in waste and scrap|wholesale merchandiser in waste and scrap|wholesale buyer in waste and scrap|graduate wholesale merchant in waste and scrap|trainee wholesale merchant in waste and scrap
dance therapist,movement therapist
public finance accountant,finance accountant|public finance officer|treasury accountant|treasury officer|public finance manager|finance accountant of government administration|treasury manager
extract mixer tester,extract mixer|spice sifter|tea blender|mechanical sifter operator
school bus attendant,school bus assistant|school bus transportation attendant|school bus chief attendant|school bus transportation aide|school bus aide|school bus transport aide|school bus transportation assistant
performing arts school dance instructor,dance conservatory trainer|dancing instructor in performing arts school|dance instructor in performing arts school|professor of dance|dance school teacher|performing arts dancing instructor|dance conservatory instructor|performing arts dance instructor|dance school instructor|conservatory dance lecturer|conservatory dance instructor
residential home adult care worker,adult services worker
blockchain architect,decentralized ledger technology specialist|dlt specialist|blockchain technology specialist|dlt architect
road marker,construction worker|road marking machine operator|road marking worker|road marking operative|white line marker|carriageway sign painter|road marking technician|road painter|construction worker (road marking)|road marking operator
sound designer,music and sound artist|sound designer and composer|sound designer and engineer|sound designer & composer|composer & sound designer|audio designer|composer and sound designer|audio engineer and sound artist|sound engineer & designer|sound designer and audio engineer|audio engineer & sound artist|sound designer and music composer|sound artist and audio engineer|sound designer & engineer|sound engineer and designer|music composer and sound designer|audio engineer and sound designer|music composer & sound designer|sound designer & audio engineer|sound designer & music composer
fruit and vegetables shop manager,greengrocers store manager|organic fruit shop manager|organic fruit and vegetable shop manager|greengrocery store manager|fruit shop manager|fruiterer|organic fruit store manager|fruit and vegetables store manager|greengrocer|vegetable shop manager|greengrocers shop manager|fruiterers shop manager|organic vegetable shop manager|greengrocery shop manager|organic fruit and vegetable store manager|greengrocery counter manager|fruiterers store manager|organic vegetable store manager
secondary school teaching assistant,teaching assistant in secondary schools|assistant in secondary school teaching|secondary school instructional assistant|secondary school teaching aide|high school teaching assistant|secondary school paraprofessional|secondary school assistant|secondary school ta|secondary education teaching assistant
heating and ventilation service installer,"hvac heating mechanic|heating instrument inspector|hvacr inspector|air conditioning and refrigeration inspector|ventilation and air-conditioning inspector|heating, ventilation, air conditioning (and refrigeration) service engineer|air conditioning inspector|heating, ventilation and air conditioning mechanic|hvac mechanic"
travel agent,reservations agent|travel booking agent|sales agent|travel sales agent
tooling engineer,tooling engineering expert|toolmaker/tooling engineer|manufacturing tooling engineer|tooling technology engineering adviser|tooling development engineer|tooling engineering specialist|tooling design engineer|press tooling engineer|toolmaker|tools engineer|tooling technology engineering specialist|tooling technology engineering expert|tooling engineering consultant|tooling engineering adviser|tooling technology engineer|tooling technology engineering consultant
licensing manager,assistant international licensing manager|trainee brand licensing manager|senior international licensing manager|graduate brand licensing manager|senior licensing manager|assistant brand licensing manager|trainee licensing and brand manager|graduate licensing and brand manager|trainee licensing manager|graduate international licensing manager|assistant licensing and brand manager|assistant licensing manager|graduate licensing manager|senior licensing and brand manager|senior brand licensing manager|trainee international licensing manager
tunnel boring machine operator,tunneller|tunnelling equipment operator|tbm operator|tunnelling machine operator|tunnelling equipment operative
prop maker,property maker and designer|property maker and set dresser|property maker & modeller|prop maker and modeller|prop modeller & maker|prop maker & modeller|property maker and scenic painter|scenic artist & property maker|property maker & set dresser|prop maker & designer|property modeller and maker|property designer and maker|property designer & maker|property maker and scenic artist|set dresser & prop maker|scenic painter & property maker|prop modeller and maker|prop builder|set dresser and prop maker|scenic painter and property maker|scenic artist and property maker|prop designer and maker|property maker & designer|property modeller & maker|scenic artist and prop maker|prop maker & scenic artist|prop designer & maker|property builder|scenic painter & prop maker|prop maker and scenic painter|prop maker and scenic artist|scenic painter and prop maker|property maker and modeller|prop & puppet maker|set dresser and property maker|prop maker and designer|scenic artist & prop maker|property maker & scenic artist|property maker|property maker & scenic painter|prop maker and set dresser|property & puppet maker|prop maker & scenic painter|set dresser & property maker|prop maker & set dresser
director of compliance and information security in gambling,manager of compliance and information security in gambling|gambing compliance and information security manager|gambling compliance and information security director
recycling specialist,solid waste division supervisor|trainee recycling co-ordinator|recycling and waste reduction specialist|recycling development co-ordinator|supermarket recycling co-ordinator|senior recycling co-ordinator|recycling research specialist|recycling equipment specialist|waste recycling co-ordinator|recycling manager|recycling and reclamation coordinator|recycling specialist advisor|recycling supervisor|recycling management specialist|recycling equipment technician|filling station recycling co-ordinator|recycling team supervisor|recycling and reclamation co-ordinator|waste recycling specialist|recycling programe manager|community recyling coordinator|garden centre recycling co-ordinator|recycling policy specialist|department store recycling co-ordinator|recycling co-ordinator|recycling director|recycling development coordinator|community recycling co-ordinator|hypermarket recycling co-ordinator|reycling development co-ordinator|recycling policy advisor|household recycling coordinator|waste consultant|recycling coordinator|recycling programme manager|outlet centre recycling co-ordinator|waste management consultant|recycling operations manager|recycling inspector|household recycling co-ordinator|waste recovery specialist
financial risk manager,budget and debt advisor|financial risk department manager|bank risk manager
welder,fitter|repair and maintenance technician|gas welder|oxyacetylene welder|repair fitter|naval welder|steel welder|maintenance technician|arc welder|aircraft welder|naval metalworker|construction welder|repair technician|underwater welder|aerospace welder|maintenance welder|marine welder|oxy welder|motor vehicle welder|repair welder|oxy-fuel welder|boiler welder|production welder|welding practitioner
groundwater monitoring technician,environmental protection technician|environmental conservation technician|groundwater protection technician|groundwater laboratory technician|groundwater sampling technician|groundwater monitoring system technician|groundwater technician
refinery shift manager,refinery coordinator|plant and equipment manager (refinery)|refinery shift supervisor|shift supervisor|head of oil refinery|refinery manager|shift manager|battery shift lead
chief technology officer,chief technology officers|it director|chief digital officer|information technology director|cto
microelectronics designer,microelectronics hardware engineer|microelectronics circuit system engineer|microelectronics manufacturing design engineer|microelectronics hardware designer|microelectronics circuit design engineer|microelectronics circuit designer|silicon engineer|microelectronics system engineer|microelectronics system designer|integrated circuit hardware engineer|microelectronics technology design engineer|microelectronics circuit engineer|microelectronics packaging design engineer|microelectronics packaging designer
sports programme coordinator,sports development officer|recreation officer|community development officer|recreation programme coordinator|sports development coordinator
pharmacy technician,technologist in pharmaceuticals|technologist in pharmacy|pharmacy technologist|pharmaceutical technician|pharmaceutical technologist|pharmacy technical assistant|technical assistant in pharmacy|technician in pharmacy|technician in pharmaceuticals
legislative drafter,researcher|parliamentary drafter|parliamentary draughtsman|parliamentary draftsman|parliamentary draftsperson|parliamentary councel
respiratory therapy technician,respiratory care supervisor|respiratory therapist|respiratory technician|breathing technician|oxygen therapy technician|respiratory care assistant
mine planning engineer,mining operations scheduler|mine planning supervisor|mine production scheduler|mine project engineer|surface mine planning engineer
gas distribution engineer,gas distribution system engineer|gas distribution engineering specialist|gas distribution network engineer|gas distribution technology engineering specialist|gas distribution technology engineering consultant|gas distribution process engineer|gas transmission system engineer|gas distribution engineering adviser|natural gas distribution engineer|gas distribution engineering consultant|gas distribution technology engineering expert|gas distributions engineer|lpg distribution engineer|gas distribution technology engineer|gas transmission engineer|gas distribution technology engineering adviser|gas distribution pipeline engineer|gas distribution engineering expert|gas distribution research engineer|natural gas transmission system engineer
insurance risk consultant,risk and insurance consultant|insurance analyst|insurance adviser|insurance consultant|insurance risk associate|insurance risk surveyor
video artist,interactive video artist|video effects artist|visual technician|graphics & video artist|visual manipulator|visuals artist|graphics and video artist|video graphics artist|video manipulator
leather goods quality technician,quality technologist|leather goods quality technologist|leather goods quality specialist|leather goods quality engineer
pharmacist,practitioner of pharmacy|pharmacologist|pharmacology practitioner|dispensing chemist|retail pharmacist|practitioner of pharmacology|pharmacy practitioner
road construction supervisor,supervisor of road construction|road construction project supervisor|clerk of works|supervisor of road construction operations|road construction foreman|highway construction supervisor|road construction clerk of works|surfacing supervisor
rolling stock engineer,locomotive engineer|rolling stock engineering consultant|carriage designer|multiple unit engineer|rail vehicle designer|wagon designer|wagon engineer|rolling stock technology engineer|rail vehicle engineer|rolling stock engineering specialist|rolling stock technology engineering specialist|rolling stock engineering adviser|railcar engineer|rolling stock technology engineering adviser|railway vehicle designer|rolling stock technology engineering expert|rolling stocks engineer|multiple unit designer|locomotive designer|rolling stock engineering expert|traction engineer|railcar designer|railway vehicle engineer|rolling stock technology engineering consultant|rolling stock designer|carriage engineer
pump operator,fire fighter assistant|fireman assistant|fire appliance pump operator|fire engine pump operator|firewoman assistant|firefighter assistant
zoo educator,learning officer|visitor educator|education instructor|schools engagement officer|educator|guest experience assistant|conservation educator|aquarium educator|engagement officer
mine control room operator,mining supervisor|panel controller|mine monitor|mining control room operator|mine operator|mining operations supervisor
glove maker,glove manufacturers|industrial leather gloves manufacturer|sports glove manufacturer|glove manufacturer
vehicle cleaner,automotive cleaner|rental fleet vehicle cleaner|truck cleaner|car cleaner|van valeter|truck valeter|van cleaner|vehicle body valeter|used vehicle cleaner|motor vehicle cleaner|motor vehicle valeter|vehicle body cleaner|new vehicle clearer|car valeter|automotive valeter
distillery miller,distillery grain mill worker|distilling miller|distillery grain miller|distillery mill worker
electrical transmission system operator,electricity transmission system worker|electric powerline system worker|electricity power line system worker|electricity transmission system technician
animal shelter worker,animal shelter helper|animal washer|animal shelter employee|animal shelter assistant|animal helper
diagnostic radiographer,expert diagnostic radiographer|practitioner of diagnostic radiography|senior diagnostic radiographer|specialist diagnostic radiographer|radiologic technologist|diagnostic imaging radiographer|diagnostic radiography practitioner|diagnostic imaging radiology technologist
head of workshop,head of scenic workshop|deputy workshop manager|workshop coordinator|scenic workshop manager|stage workshop supervisor|theater crafstmanship coordinator|head of set workshop|theatre craftsmanship coordinator|deputy workshop supervisor
sewing machine operator,custom sewer|garment maker|serger machine operator|computer stitcher|flat sewing machine operator|joiner|edging machine operator|fastener sewing machine operator|sewing machine tender|hook and eye machine operator|clothing machinist|stitching machinist|pleating machine operator|bartack machinist
aircraft gas turbine engine overhaul technician,aircraft gas turbine engine maintenance technician|aviation gas turbine engine maintenance technician|aviation gas turbine engine repair technician|aeroplane engine mechanic|aircraft gas turbine engine repair technician|aeroplane gas turbine engine maintenance technician|aeroplane gas turbine engine repair technician|aircraft gas turbine engine installation technician
interpretation agency manager,language translation agency director|language translation agency supervisor|translation service manager|language interpretation service manager|language interpreter|language translation service manager|language interpretation agency supervisor|language interpretation agency director|translation agency manager|interpretation agency director|interpretation agency supervisor|language translation agency manager|language interpretation agency manager|language translator
food safety inspector,quality controller|quality inspector|food quality inspector|food safety officer
metalworking lathe operator,spinning lathe operator|tool lathe|metal working lathe operator|tool lathe setter|metal spinning operator|brake drum operator|lathe scalper operator
leather finishing operator,milling drum operator|finishing machinist|plating machine operator|leather embossing machine operator|finishing range operator|leather finishing coating machine operator|finisher|finishing operators|spray booth operator
"import export manager in computers, computer peripheral equipment and software","senior import manager in computers, computer peripheral equipment and software|international trade manager in computers, computer peripheral equipment and software|senior export manager in computers, computer peripheral equipment and software|customs compliance manager in computers, computer peripheral equipment and software|trainee import manager in computers, computer peripheral equipment and software|graduate export manager in computers, computer peripheral equipment and software|assistant import manager in computers, computer peripheral equipment and software|trainee import export manager in computers, computer peripheral equipment and software|assistant import export manager in computers, computer peripheral equipment and software|trainee export manager in computers, computer peripheral equipment and software|international trade compliance manager in computers, computer peripheral equipment and software|assistant export manager in computers, computer peripheral equipment and software|graduate import export manager in computers, computer peripheral equipment and software|graduate import manager in computers, computer peripheral equipment and software|senior import export manager in computers, computer peripheral equipment and software"
polygraph examiner,polygraph instructor|polygraph operator|signals analyst|polygraphist|lie detector operator|polygraph technician|lie detector examiner
animal behaviourist,ethologist|animal behaviour expert|animal behaviour specialist|animal behavior specialist|animal behavior expert|animal behavior therapist|animal behaviorists|animal behaviour therapist
metal production supervisor,mechanical supervisor|metal fabricating supervisor|melter supervisor|metal production overseer|metal fabrication supervisor|metal fabrication manager|metal fabricating manager|mechanical operations supervisor|melter manager|metal-production superintendent|metal production superintendent
beverage filtration technician,beverage filtration worker|drink filter operator|beverage filtration expert|drinks filtration worker
composer,music producer|jingle writer|music composer and producer|film music composer|theater music composer|music producer & composer|sound track composer|songwriter|theatre music composer|computer composer|singer-songwriter|music composer|electronic music producer|music producer and composer|electro musician|music composer & producer
psychology lecturer,senior lecturer in psychology|university psychology lecturer|lecturer of psychology|instructor in psychology|psychology docent|lecturer in psychology|psychology professor|university lecturer in psychology|lector in psychology|specialist lecturer in psychology|professor of psychology|higher education psychology teacher|psychology instructor|psychology teacher|psychology lector
department store manager,department store general merchandise manager|retail sales manager|outlet store manager|senior department store manager|general retail manager|department store general store manager|department shop manager|assistant department store manager|graduate trainee department store manager|manager in department store|trainee department store manager
wood boring machine operator,wood drilling machine technician|wood boring worker|wood boring machine worker|wood boring machine setter|wood boring machine tender|wood boring machine technician|wood boring machine operative|wood boring technician|wood borer|wood boring machine specialist|wood boring mill operator|wood drilling machine operator|wood boring mill specialist|wood boring specialist|wood boring mill technician|wood drilling machine specialist
door supervisor,bouncer|disco doorman|nightclub doorman|bar doorman
meat preparations operator,meatworker|meat processing worker|abbatoir worker|meat worker
real estate investor,property investor|property entrepreneur|land investor|investor in real estate|land entrepreneur|real estate entrepreneur|real estate entrepreneurs|real estate investing expert
wood products assembler,wood products assembly worker|wood products constructor|wood products joiner|stair assembler|wood products fabricator|door assembler|staircase assembler|wood products maker|cabinet assembler|wood products builder|window assembler|windows assembler|wood products production worker
postman/postwoman,courier|in house courier|bike courier|motorcycle messenger|postman|postwoman|mailwoman|postal carrier|postal service worker|urban bike messenger|in house messenger|delivery man|bike messenger|mailman|bicycle messenger|driver messenger|delivery woman|mail carrier
hydropower technician,wave power technician|hydropower mechanical technician|tidal power technician|hydropower mechanical engineer|hydropower plant technician|hydroelectric mechanical engineer|hydroelectric technician|marine energy technician|hydroelectric plant technician
music and video shop manager,music and video store manager|musical instrument shop manager|cd shop manager|musical instrument store manager|music shop manager|record store manager|sheet music store manager|video shop manager|record shop manager|music superstore manager|cd store manager
broadcasting programme director,television program director|broadcasting program director|content director|radio program director|program planner|television programme director|broadcasting program manager|radio programme director|tv programme director|programme controller|broadcasting programme manager|programme planner|broadcasting program coordinator|program controller|tv program director
microsystem engineer,engineer in microsystems|microsystems engineer|specialist in microelectromechanical systems|engineer in micro-systems|advanced mems engineer|microsystem technology engineering adviser|microsystem engineering specialist|engineer of microsystems|microsystem engineering consultant|mems engineer|senior mems engineer|microsystem technology engineer|microsystem engineering expert|microelectromechanical systems engineer|microsystem technology engineering expert|microsystem technology engineering consultant|micro system engineer|micro systems engineer|microsystem technology engineering specialist|microsystem engineering adviser|micro-system engineer|micro-systems engineer
physicist,physics scholar|forensic physicist|neurologist|physics analyst|physics scientist|physics researcher|medical physicist|petrophysicist|nuclear physicist|ballist physicist|biophysicist|physics research scientist|physics science researcher
usher,court usher|event usher|usher supervisor|groomsman|ticket taker|church usher
book-sewing machine operator,thread book sewing machine technician|paper stitching machine technician|thread book-sewing machine operator|paper stitching machine operator|thread book sewing machine operator|thread book sewing machine specialist|book-sewing machine tender|thread book-sewing machine tender|paper stitching machine specialist|paper stitcher|stitching machine operator|book-sewing machine specialist|book-sewing machine technician
power electronics engineer,power electronics design engineer|power electronics engineering consultant|power electronics engineering specialist|engineer of power electronics|power electronics testing engineer|power electronics engineering expert|solar inverter power electronics engineer|power electronics technology engineer
aircraft marshaller,aeroplane signal crewman|aeroplane ground handler|aeroplane marshaller|aircraft ground handler|ground marshaller|aircraft signal crewman|marshaller|marshaller of aircraft|aircraft ground marshaller
water plant technician,water plant quality technician|water plant maintenance technician|water plant monitoring technician|water plant equipment maintenance technician|water plant repair technician|water plant measurement technician|water plant worker|water plant operative|water treatment plant operative|water treatment plant worker|water treatment plant operator|water plant operator|water treatment technician
gravure press operator,rotogravure technician|gravure technician|engraving press operator|gravure press operative|gravure printing press tender|rotogravure press operator|gravure press worker|rotogravure printing machine tender|gravure press technician|rotogravure specialist|rotogravure press specialist|gravure press specialist|rotogravure press technician|gravure printing machine operator|rotogravure printing press operator|rotogravure press rolltender|gravure press tender|gravure press rolltender|gravure printing machine tender|rotogravure operator|gravure operator|engraving press tender|gravure specialist
wholesale merchant in office machinery and equipment,office furniture wholesale trader|wholesale broker in office machinery and equipment|wholesale representative in office machinery and equipment
"hides, skins and leather products distribution manager","graduate hides, skins and leather products distribution manager|trainee hides, skins and leather products distribution manager|hides, skins and leather products supply chain manager|hides, skins and leather products distribution planner|assistant hides, skins and leather products distribution manager|hides, skins and leather products logistics manager|hides, skins and leather products logistics planner|senior hides, skins and leather products distribution manager|hides, skins and leather products supply chain planner"
speech and language therapist,psychomotor specialist|logopaedist|paediatric speech and language therapist|language therapist|logopaedics therapist|speech-language pathologist|speech therapist|language therapy practitioner|speech pathologist|practitioner in speech and language therapy|speech therapy practitioner|paediatric speech therapist|specialist speech and language therapist
wholesale merchant in watches and jewellery,wholesale merchant in watches and jewelry|business to business sales consultant in watches and jewellery|trainee wholesale merchant in watches and jewellery|b2b sales consultant in watches and jewellery|wholesaler in watches and jewellery|wholesale trader in watches and jewellery|wholesale merchandiser in watches and jewellery|wholesale buyer in watches and jewellery|graduate wholesale merchant in watches and jewellery|business to business seller in watches and jewellery|senior wholesale merchant in watches and jewellery|assistant wholesale merchant in watches and jewellery
printmaker,printmaking artist|lithographer|illustrator & printmaker|illustrator and printmaker|screen printer|artist printmaker|relief printer|silk screen printer|printmaking etcher|designer printmaker
aquaculture rearing technician,fish rearing technician|technician in aquaculture rearing|fish culturist
dryer attendant,food products dryer operator|drying attendant|dryer|drying worker
poultry sexer,sexer|chicken sexer|poultry sex identification specialist|turkey sexer|chick sexer|poultry gender tester
co-pilot,aircraft co-pilot|multi-crew pilot|aircraft first officer
assayer,chemical analyst|gold assayer|precious metal assayer|metal tester|geo-science technician|silver assayer|assay laboratory technician|fire assayer|mining assayer|metal assayer|mineralogy assayer
materials handler,storage worker
import export specialist in live animals,senior import export specialist in live animals|senior export specialist in live animals|graduate import specialist in live animals|senior import specialist in live animals|international trade compliance specialist in live animals|assistant export specialist in live animals|trainee import specialist in live animals|graduate export specialist in live animals|assistant import specialist in live animals|graduate import export specialist in live animals|trainee import export specialist in live animals|customs compliance specialist in live animals|trainee export specialist in live animals|assistant import export specialist in live animals
traditional chinese medicine therapist,tcm specialist|therapist in traditional chinese medicine|therapist in tcm|chinese medicine therapist|specialist in traditional chinese medicine|traditional chinese medicine practitioner|tcm practitioner|tcm therapist|practitioner of traditional chinese medicine
rolling stock engine tester,multiple unit engine tester|rail vehicle engine tester|diesel engine tester|electric engine tester|railcar engine tester|locomotive engine tester|railway vehicle engine tester
business studies and economics teacher secondary school,business studies and economics teacher|teacher of economics in high school|business studies and economics teacher high school|high school business studies and economics teacher|high school business studies teacher|teacher of business studies and economics in secondary schools|teacher of business studies and economics in high school|teacher of business studies in high school|secondary school economics teacher|high school economics teacher|secondary school business studies and economics teacher|secondary school business studies teacher
nature conservation officer,forester|park ranger|fish and game warden|countryside ranger|zoo field conservation officer|heritage coast warden|wildlife control agent|conservation programmes officer|conservation officer|heritage coast ranger|environmental enforcement officer
leather raw materials purchasing manager,leather purchasing and inventory co-ordinator|leather raw materials purchaser|leather raw materials purchase officer|hide purchasing manager|leather raw materials procurement manager|leather raw materials purchasing managers|hide raw materials purchasing executive|leather raw materials buyer|hide purchasing expediter
art teacher secondary school,art teacher|teacher of art in high school|high school art tutor|secondary school art teacher|high school art teacher|art teacher in high school|art tutor in high school|art tutor in secondary school|art teacher high school|teacher of art in secondary school|secondary school art tutor
jewellery and watches specialised seller,diamond specialised seller|diamonds and precious metal jewellery specialised seller|diamond salesperson|jewelry and watches specialized seller|jewellery salesperson|luxury watches and diamond jewellery specialised seller|diamonds and precious metal jewellery salesperson|jewellery specialised seller|jewellery and watches salesperson|diamonds and jewellery salesperson|luxury watches and diamond jewellery salesperson
ict information and knowledge manager,chief technology officer|ict knowledge manager|ict information manager|it information manager|it information and knowledge manager|it knowledge manager
fluid power engineer,fluid power assembler|fluid power engineering operator|fluid power maintenance supervisor|fluid power assembly engineer|fluid power engineering specialist|fluid power engineering adviser|fluid power technology engineer|fluid power engineering inspector|fluid power engineer installer|fluid power technology engineering expert|fluid power engineering consultant|fluid power tester|fluid power maintenance engineer|fluid power technology engineering adviser|fluid power engineering supervisor|hydraulic fluid power engineer|fluid power assembly supervisor|fluid power engineers|fluid power engineering expert|fluid power technology engineering consultant|fluid power technology engineering specialist|fluid power testing engineer
ski instructor,ski teacher|ski and snowboard instructor|ski & snowboard instructor|ski coach|skiing instructor|ski trainer|cross-country ski instructor
knowledge engineer,linked data engineer|taxonomist|knowledge officer|information engineer|knowledge engineers
kitchen and bathroom shop manager,kitchen superstore manager|home improvements shop manager|diy superstore manager|kitchen and bathroom store manager|bathroom store manager|home improvements superstore manager|kitchen and bathroom showroom manager|bathroom showroom manager|bathroom superstore manager|kitchen showroom manager|home improvements store manager|kitchen and bathroom superstore manager|bathroom shop manager|kitchen store manager|kitchen shop manager
ict network administrator,network manager|network specialist|network administrators|network support|networks administrator
milk reception operator,milk dairy worker|milking operator|milk worker|milk reception operative
aircraft maintenance engineer,aviation systems technician|air transportation engineer
chemical plant manager,chemical plant technial manager|chemical plant operations executive|manager of chemical plant|chemical production plant managing director|chemical production facility manager|plant managing director|chemical plant technical director|chemical processing plant manager|chemical plant operations manager|chemical production plant manager|manager of chemical processing plant|chemical plant managing director|chemical production process manager|chemical plant supervisor|chemical plant superintendent
train driver,engine driver|locomotive engineer|metro driver|passenger train driver|train operator|passenger engine driver|driver of trains
vocational teacher,vocational college lecturer|vocational instructor|vocational university tutor|vocational educator|vocational college teacher|vocational tutor|vocational teaching assistant|career and technology teacher|technical institute teacher|vocational education teacher|technological institute teacher|vocational university teacher|vocational lecturer
fertiliser mixer,fertilizer mixing machine operative|fertilizer mixing machine operator|mixer of fertilizer|mixer of fertiliser|fertiliser mixing machine operator
hospitality establishment receptionist,reception worker|reservations clerk|hotel receptionist|reception assistant|reception area clerk
monitoring and evaluation officer,monitoring and reporting analyst|mel officer|social impact assessment specialist|economic impact assessment officer|evaluator|m&e officer|monitoring and evaluation specialist|social impact assessment analyst|impact assessment manager|meil officer|research and evaluation officer|evaluation officer|mel project officer
airport maintenance technician,specialist in airport maintenance|airport maintenance technical officer|technician in airport maintenance|airport maintenance officer|maintenance technician at airports|airport maintenance specialist|maintenance specialist at airports
refrigeration air condition and heat pump technician,refrigeration mechanic|refrigeration service technician|heat pump service technician|heat pump technician|air conditioning technician|heat pump installation technician|refrigeration installation technician|air conditioning installation technician|air conditioning service technician
logistics and distribution manager,logistics director|logistics supply chain coordinator|distribution and logistics manager|logistics manager|manager of logistics and distribution|supply chain logistics manager|planning and logistics manager|distribution logistics manager|distribution & logistics manager|logistics coordinator|logistics operations manager|distribution coordinator|logistics and distribution director|director of logistics and distribution|logistics & distribution manager
terrazzo setter supervisor,terrazzo team supervisor|terrazzo layer supervisor|terrazzo setter foreman|terrazzo flooring supervisor|concrete flooring supervisor|epoxy terrazzo setter supervisor|poured flooring supervisor|terrazzo worker supervisor|terrazzo team foreman
sport facility manager,swimming pool manager|sport hall manager|stadium manager|sport venue manager|fitness club manager|director
microelectronics smart manufacturing engineer,microelectronics manufacturing professional|microelectronics technology expert|microelectronics technology engineer|engineer of microelectronics technology|microelectronics production adviser|microelectronics production supervisor|microelectronics productions specialist|microelectronics production engineer|smart production expert|smart manufacturing engineer|microelectronics technology consultant|microelectronics manufacturing engineer
toys and games specialised seller,toy and game superstore specialised seller|toy salesperson|toy and game superstore salesperson|kids toy shop specialised seller|models and games salesperson|kids toy shop salesperson|games specialised seller|kids toys and games specialised seller|games and toys specialised seller|models and games specialised seller|toy superstore salesperson|models and collectibles shop salesperson|toy specialised seller|models and collectibles specialised seller|toys and games specialized seller|toy superstore specialised seller|kids toys specialised seller|models and collectibles salesperson|kids toys salesperson|games and toys salesperson|games salesperson|kids toys and games salesperson
auxiliary nursing and midwifery vocational teacher,vocational teacher in auxiliary nursing and midwifery|auxiliary nursing and midwifery teacher|auxiliary nursing and midwifery instructor|auxiliary nursing and midwifery vocational trainer|educator in auxiliary nursing and midwifery|auxiliary nursing and midwifery vocational instructor|trainer in auxiliary nursing and midwifery|vocational educator in auxiliary nursing and midwifery|instructor in auxiliary nursing and midwifery
clinical trial assistant,clinical research assistant|clinical research associate
occupational therapy assistant,technician in occupational therapy|occupational therapy rehabilitation assistant|ot assistant|assistant in occupational therapy|ot support worker|support worker in occupational therapy
non-destructive testing specialist,non-destructive testing technology expert|non-destructive testing technologist|nondestructive test specialist|nondestructive testing specialist|non-destructive testing technician|non-destructive testing technology specialist|non-destructive testing assistant|non-destructive test specialist
hair stylist,hair & wig stylist|hair and wig stylist|hair & wig artist|hair and wig artist|hair artist|hair stylist & make up artist
palaeontologist,palaeontology scholar|palaeontology science researcher|micropalaeontologist|palaeontology scientist|palaeontology researcher|palaeoecologist|palaeontology research scientist|palaeontology analyst|ichnologist|palaeontology research analyst
guitar maker,guitar technician|stringed instrument inspector|stringed instrument tester|guitar quality inspector|guitar tester|stringed instrument builder|guitar inspector|stringed instrument quality inspector|stringed instrument quality tester|guitar craftsman|guitar craftswoman|guitar quality tester|guitar builder
chief information officer,it director|chief information officers|cio
election agent,campaign manager|parliamentary agent|electorate officer|elections officer
electronics production supervisor,production line supervisor|electronics production line supervisor|supervisor in electronics manufacturing|supervisor of electronics production line|production supervisor in electronics manufacturing|electronics production manager|manager in electronics manufacturing|electronics manufacturing manager|electronics manufacturing supervisor
car driving instructor,driving instructor|driver education instructor|car driver instructor|car driver training instructor|automobile driving instructor|car driving training instructor
translation agency manager,language translation agency director|language translation agency supervisor|translation service manager|language interpretation service manager|language translation service manager|language interpretation agency supervisor|language interpretation agency director|interpretation agency director|interpretation agency supervisor|language translation agency manager|language interpretation agency manager
tool grinder,lead tool grinder|precision tool grinder|tool sharpener|operator of tool and cutter grinder|grinder|tool cutter and grinder|toolgrinder|cnc operator of tool and cutter grinder
contract engineer,subcontractor engineer|contract engineering expert|contractor engineer|contract engineering consultant|contract engineering specialist|contract engineering adviser
engine minder,on board engine minder|canal narrowboat engine minder|narrow boat crew member|narrowboat crew member|narrow boat engine minder|vessel engine operator|canal boat crew member|canal boat engine minder|canal narrowboat crew member|barge crew member|barge engine minder|narrowboat engine minder|ship engine operator|engine minder on vessels
rolling stock assembler,rolling stock builder|locomotive builder|carriage builder|wagon builder|railway vehicle builder|rail vehicle builder|railcar builder|multiple unit builder|carriage assembly worker|railcar assembly worker|multiple unit assembly worker|rail vehicle assembly worker|railway vehicle assembly worker|rolling stock assembly worker|rail vehicle assembler|railcar assembler|locomotive assembler|railway vehicle assembler|locomotive assembly worker|multiple unit assembler|wagon assembly worker|wagon assembler|carriage assembler
"import export specialist in computers, peripheral equipment and software","senior import export specialist in computers, peripheral equipment and software|international trade compliance specialist in computers, peripheral equipment and software|assistant import export specialist in computers, peripheral equipment and software|senior export specialist in computers, peripheral equipment and software|trainee import export specialist in computers, peripheral equipment and software|trainee export specialist in computers, peripheral equipment and software|graduate export specialist in computers, peripheral equipment and software|customs compliance specialist in computers, peripheral equipment and software|assistant import specialist in computers, peripheral equipment and software|graduate import specialist in computers, peripheral equipment and software|graduate import export specialist in computers, peripheral equipment and software|senior import specialist in computers, peripheral equipment and software|trainee import specialist in computers, peripheral equipment and software|assistant export specialist in computers, peripheral equipment and software"
